Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,Pathway,UP or DOWN
Mus musculus,12/300,0.00883758,0.99691941,0,0,2.303571429,10.89299436,RPS28;SPARC;RASGRF1;UBR4;TXNIP;SDR39U1;COPG2;AQP2;GLUL;CCDC82;CD200;RBMS3,Allen_Brain_Atlas_down,UP
Orbital area,12/300,0.00883758,0.99691941,0,0,2.303571429,10.89299436,SPARC;KRT18;ENTPD3;YIPF2;RASSF6;GRB10;PLA2G4A;LTBP3;LIAS;ETS1;PRLR;RBMS3,Allen_Brain_Atlas_down,UP
"Orbital area, ventrolateral part, layer 2/3",12/300,0.00883758,0.99691941,0,0,2.303571429,10.89299436,SPARC;KRT18;ENTPD3;YIPF2;RASSF6;LTBP3;EPHA1;LIAS;ETS1;PRLR;GPSM3;RBMS3,Allen_Brain_Atlas_down,UP
"Taenia tecta, ventral part",12/300,0.00883758,0.99691941,0,0,2.303571429,10.89299436,AKAP12;SPARC;KRT18;YIPF2;ANGPTL6;GRB10;CXCR6;LTBP3;EPHA1;CCDC82;TIMP4;RBMS3,Allen_Brain_Atlas_down,UP
"Taenia tecta, ventral part, layer 2",12/300,0.00883758,0.99691941,0,0,2.303571429,10.89299436,AKAP12;SPARC;KRT18;TTC30B;ANGPTL6;GRB10;CXCR6;LTBP3;EPHA1;CCDC82;TIMP4;RBMS3,Allen_Brain_Atlas_down,UP
layer 3 of OCx,12/300,0.00883758,0.99691941,0,0,2.303571429,10.89299436,VAT1;SPARC;SFRP2;RPL18A;GPX3;POLR2B;ECH1;LPAR1;GRB10;TXNIP;NCAM1;PLEKHH1,Allen_Brain_Atlas_down,UP
layer 4 of OCx,12/300,0.00883758,0.99691941,0,0,2.303571429,10.89299436,VAT1;SPARC;TRAF3IP2;RPL18A;GPX3;POLR2B;ECH1;GRB10;TXNIP;NCAM1;PLEKHH1;MTSS1,Allen_Brain_Atlas_down,UP
mantle zone of AOV,12/300,0.00883758,0.99691941,0,0,2.303571429,10.89299436,AKAP12;SPARC;ENTPD3;YIPF2;DSCAM;ANGPTL6;GRB10;LTBP3;GAS6;CCDC82;MTSS1;RBMS3,Allen_Brain_Atlas_down,UP
Field CA1,14/378,0.00935495,0.99691941,0,0,2.130194518,9.951948494,VAT1;SPARC;ENTPD3;DSCAM;GPX3;PLA2G4A;LTBP3;RND2;AKAP12;FCGRT;NRG4;GRB10;DNLZ;MEST,Allen_Brain_Atlas_down,UP
"Field CA1, stratum radiatum",14/397,0.01388346,0.99691941,0,0,2.022523334,8.650447668,VAT1;SPARC;ENTPD3;GPX3;SDR39U1;PLA2G4A;LTBP3;RND2;AKAP12;FCGRT;GRB10;TXNIP;CCDC82;MEST,Allen_Brain_Atlas_down,UP
Anterior olfactory nucleus,11/300,0.0213058,0.99691941,0,0,2.098196946,8.075490006,AKAP12;RPS28;ENTPD3;YIPF2;ANGPTL6;RASSF6;ZBTB8OS;LTBP3;GAS6;ETS1;RBMS3,Allen_Brain_Atlas_down,UP
Basic cell groups and regions,11/300,0.0213058,0.99691941,0,0,2.098196946,8.075490006,RPS28;SPARC;RASGRF1;UBR4;SDR39U1;COPG2;NCAM1;GLUL;CD200;UCKL1;RBMS3,Allen_Brain_Atlas_down,UP
"Dentate gyrus, molecular layer",11/300,0.0213058,0.99691941,0,0,2.098196946,8.075490006,ENTPD3;GPX3;MGAT5;GRB10;UBR4;DNLZ;SDR39U1;LTBP3;RND2;MEST;PLEKHH1,Allen_Brain_Atlas_down,UP
"Field CA1, stratum pyramidale",11/300,0.0213058,0.99691941,0,0,2.098196946,8.075490006,VAT1;AKAP12;SPARC;ENTPD3;FCGRT;GPX3;GRB10;TXNIP;PLA2G4A;LTBP3;RND2,Allen_Brain_Atlas_down,UP
Hippocampal formation,11/300,0.0213058,0.99691941,0,0,2.098196946,8.075490006,VAT1;AKAP12;SPARC;ENTPD3;GPX3;GRB10;UBR4;DNLZ;LTBP3;RND2;MEST,Allen_Brain_Atlas_down,UP
"Posterior parietal association areas, layer 4",11/300,0.0213058,0.99691941,0,0,2.098196946,8.075490006,VIT;VAT1;SPARC;TRAF3IP2;LPAR1;GRB10;TXNIP;PLA2G4A;NCAM1;PLEKHH1;MTSS1,Allen_Brain_Atlas_down,UP
"Primary motor area, Layer 5",11/300,0.0213058,0.99691941,0,0,2.098196946,8.075490006,VIT;SPARC;GPX3;CAV1;LPAR1;GRB10;TXNIP;GLUL;ETS1;PLEKHH1;SYTL3,Allen_Brain_Atlas_down,UP
"Retrosplenial area, dorsal part, layer 2/3",11/300,0.0213058,0.99691941,0,0,2.098196946,8.075490006,VAT1;RPS28;ENTPD3;GALR2;ZYX;GRB10;UBR4;NCAM1;RIN2;UCKL1;RBMS3,Allen_Brain_Atlas_down,UP
"Secondary motor area, layer 2/3",11/300,0.0213058,0.99691941,0,0,2.098196946,8.075490006,SLC12A2;SPON1;SPARC;RASGRF1;SDR39U1;GAS6;GLUL;PLEKHH1;UCKL1;SCYL1;RBMS3,Allen_Brain_Atlas_down,UP
Somatomotor areas,11/300,0.0213058,0.99691941,0,0,2.098196946,8.075490006,VAT1;SPARC;GPX3;LPAR1;GRB10;SDR39U1;LTBP3;GLUL;ETS1;PLEKHH1;SYTL3,Allen_Brain_Atlas_down,UP
"anterior olfactory area, ventral part",11/300,0.0213058,0.99691941,0,0,2.098196946,8.075490006,AKAP12;SPARC;ENTPD3;YIPF2;ANGPTL6;GRB10;LTBP3;GAS6;CCDC82;MTSS1;RBMS3,Allen_Brain_Atlas_down,UP
granule cell layer of the DG,11/300,0.0213058,0.99691941,0,0,2.098196946,8.075490006,VAT1;AKAP12;ENTPD3;GPX3;MGAT5;GRB10;DNLZ;SDR39U1;LTBP3;MEST;PLEKHH1,Allen_Brain_Atlas_down,UP
layer 2 of FCx,11/300,0.0213058,0.99691941,0,0,2.098196946,8.075490006,SPARC;STIM1;RASGRF1;SDR39U1;LTBP3;GAS6;GLUL;PLEKHH1;UCKL1;SCYL1;RBMS3,Allen_Brain_Atlas_down,UP
layer 2 of PCx,11/300,0.0213058,0.99691941,0,0,2.098196946,8.075490006,CD164;SPON1;ECH1;LPAR1;NCAM1;ALDOA;GAS6;SERINC3;GLUL;PLEKHH1;UCKL1,Allen_Brain_Atlas_down,UP
layer 3 of FCx,11/300,0.0213058,0.99691941,0,0,2.098196946,8.075490006,SLC12A2;SPARC;RASGRF1;GRB10;SDR39U1;LTBP3;GLUL;PLEKHH1;UCKL1;SCYL1;RBMS3,Allen_Brain_Atlas_down,UP
medial pallium (hippocampal allocortex),11/300,0.0213058,0.99691941,0,0,2.098196946,8.075490006,VAT1;AKAP12;SPARC;ENTPD3;DSCAM;GPX3;GRB10;UBR4;DNLZ;LTBP3;RND2,Allen_Brain_Atlas_down,UP
molecular layer of the DG,11/300,0.0213058,0.99691941,0,0,2.098196946,8.075490006,VAT1;ENTPD3;GPX3;GRB10;UBR4;DNLZ;SDR39U1;LTBP3;RND2;MEST;PLEKHH1,Allen_Brain_Atlas_down,UP
pallium,11/300,0.0213058,0.99691941,0,0,2.098196946,8.075490006,VAT1;AKAP12;SPARC;ENTPD3;GPX3;GRB10;LTBP3;GLUL;PLEKHH1;MTSS1;RBMS3,Allen_Brain_Atlas_down,UP
superficial stratum of AOV,11/300,0.0213058,0.99691941,0,0,2.098196946,8.075490006,AKAP12;SPARC;ENTPD3;YIPF2;ANGPTL6;GRB10;LTBP3;GAS6;CCDC82;MTSS1;RBMS3,Allen_Brain_Atlas_down,UP
superficial stratum of LPrP,11/300,0.0213058,0.99691941,0,0,2.098196946,8.075490006,AKAP12;SPARC;LPAR1;GRB10;TXNIP;PCOLCE;FUZ;LTBP3;DCST1;GLUL;PLEKHH1,Allen_Brain_Atlas_down,UP
Presubiculum,14/442,0.03124191,0.99691941,0,0,1.805645075,6.258356412,VAT1;PRKCH;DSCAM;GPX3;ECH1;UBR4;ZBTB8OS;LTBP3;SFRP2;NRG4;POLR2B;RASSF6;DNLZ;COPG2,Allen_Brain_Atlas_down,UP
"Field CA1, stratum oriens",13/409,0.03618539,0.99691941,0,0,1.809976556,6.007492748,VAT1;SPARC;ENTPD3;DSCAM;GPX3;CAV1;PLA2G4A;LTBP3;AKAP12;FCGRT;NRG4;GRB10;DNLZ,Allen_Brain_Atlas_down,UP
mantle zone of DG,17/593,0.04268147,0.99691941,0,0,1.630706522,5.143232733,VIT;VAT1;ENTPD3;GPX3;UBR4;SDR39U1;NR1D1;LTBP3;ETS1;IGF2R;AKAP12;KCNMB1;GRB10;DNLZ;PLEKHH1;MEST;TAPT1,Allen_Brain_Atlas_down,UP
"Agranular insular area, dorsal part, layer 2/3",10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,FAM122B;SLC12A2;SPARC;TTC30B;GRB10;PADI2;SDR39U1;LTBP3;GLUL;PLEKHH1,Allen_Brain_Atlas_down,UP
Ammon's horn,10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,VAT1;AKAP12;SPARC;ENTPD3;GPX3;GRB10;DNLZ;LTBP3;RND2;MEST,Allen_Brain_Atlas_down,UP
"Anterior cingulate area, dorsal part, layer 5",10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,VAT1;SPARC;DSCAM;GRB10;IGF2BP3;LTBP3;PRDX6;PRLR;MTSS1;RBMS3,Allen_Brain_Atlas_down,UP
"Cortical amygdalar area, posterior part, lateral zone, layer 2",10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,MLPH;GGCX;LPAR1;PTPRM;PPIE;RPRD1B;RRP1B;ALDOA;HSPG2;PLEKHH1,Allen_Brain_Atlas_down,UP
Declive (VI),10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,RRP7A;RPL5;RPS28;RASGRF1;RAB27B;RABEPK;MEST;CD200;DEDD;UCKL1,Allen_Brain_Atlas_down,UP
"Declive (VI), molecular layer",10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,RRP7A;RPL5;RPS28;RASGRF1;RAB27B;RABEPK;MEST;CD200;DEDD;UCKL1,Allen_Brain_Atlas_down,UP
"Dentate gyrus, granule cell layer",10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,VAT1;AKAP12;ENTPD3;GPX3;MGAT5;GRB10;DNLZ;LTBP3;MEST;PLEKHH1,Allen_Brain_Atlas_down,UP
"Field CA1, pyramidal layer",10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,VAT1;AKAP12;SPARC;ENTPD3;DSCAM;FCGRT;GPX3;GRB10;LTBP3;RND2,Allen_Brain_Atlas_down,UP
Hippocampal region,10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,VAT1;AKAP12;ENTPD3;GPX3;GRB10;UBR4;DNLZ;LTBP3;RND2;MEST,Allen_Brain_Atlas_down,UP
Infralimbic area,10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,SPARC;KRT18;ENTPD3;YIPF2;IGF2BP3;LTBP3;EPHA1;LIAS;GPSM3;RBMS3,Allen_Brain_Atlas_down,UP
"Mediodorsal nucleus of the thalamus, lateral part",10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,PFKFB3;DSCAM;LIFR;FUZ;PHACTR1;IGF2BP3;ATP13A3;LIAS;SYN3;ADAT2,Allen_Brain_Atlas_down,UP
OB olfactory fiber layer,10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,CHID1;STIM1;RASGRF1;UBR4;COPG2;ALDOA;RABEPK;PTPN5;CTSB;SLC9A1,Allen_Brain_Atlas_down,UP
"Orbital area, medial part, layer 5",10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,RTN2;SPARC;KRT18;YIPF2;IGF2BP3;LTBP3;LIAS;ETS1;PRLR;RBMS3,Allen_Brain_Atlas_down,UP
"Orbital area, ventrolateral part",10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,SPARC;KRT18;ENTPD3;YIPF2;RASSF6;LTBP3;EPHA1;LIAS;ETS1;RBMS3,Allen_Brain_Atlas_down,UP
Posterior parietal association areas,10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,VIT;VAT1;SPARC;TRAF3IP2;FCGRT;NRG4;GRB10;TXNIP;PLA2G4A;MTSS1,Allen_Brain_Atlas_down,UP
"Posterior parietal association areas, layer 1",10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,CHID1;SPON1;RPS28;TSPAN13;ECH1;LPAR1;IGFBP7;NCAM1;ALDOA;PLEKHH1,Allen_Brain_Atlas_down,UP
"Prelimbic area, layer 5",10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,SPARC;DSCAM;GRB10;IGF2BP3;LTBP3;EPHA1;PRLR;MTSS1;IQCG;RBMS3,Allen_Brain_Atlas_down,UP
Primary motor area,10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,VIT;SPARC;GPX3;CAV1;LPAR1;GRB10;GLUL;ETS1;PLEKHH1;SYTL3,Allen_Brain_Atlas_down,UP
Primary somatosensory area,10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,SPARC;DSCAM;FCGRT;GPX3;NRG4;GRB10;PADI2;TXNIP;NCAM1;MTSS1,Allen_Brain_Atlas_down,UP
"Primary somatosensory area, barrel field, layer 5",10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,SPARC;FCGRT;NRG4;POLR2B;GRB10;PADI2;TXNIP;NCAM1;SYTL3;MTSS1,Allen_Brain_Atlas_down,UP
"Primary somatosensory area, lower limb, layer 1",10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,CHID1;TSPAN13;PLEKHM1;TMC8;IGFBP7;ALDOA;GAS6;SERINC3;CTSB;UCKL1,Allen_Brain_Atlas_down,UP
Primary visual area,10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,SPARC;SFRP2;PIK3IP1;NRG4;ECH1;MXRA8;GRB10;TXNIP;NCAM1;MTSS1,Allen_Brain_Atlas_down,UP
"Primary visual area, layer 4",10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,SFRP2;RPL18A;PIK3IP1;POLR2B;ECH1;GRB10;TXNIP;NCAM1;PLEKHH1;MTSS1,Allen_Brain_Atlas_down,UP
"Subiculum, dorsal part",10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,VAT1;SPARC;SFRP2;ENTPD3;GPX3;AGPS;GRB10;S100A6;LTBP3;MEST,Allen_Brain_Atlas_down,UP
"Subiculum, dorsal part, stratum radiatum",10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,VAT1;SFRP2;ENTPD3;GPX3;MGAT5;AGPS;GRB10;S100A6;LTBP3;MEST,Allen_Brain_Atlas_down,UP
"Taenia tecta, dorsal part",10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,AKAP12;SPARC;TRAF3IP2;YIPF2;DSCAM;TXNIP;CXCR6;LTBP3;TIMP4;RBMS3,Allen_Brain_Atlas_down,UP
"Taenia tecta, dorsal part, layer 1",10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,AKAP12;SPARC;YIPF2;DSCAM;CXCR6;LTBP3;RND2;TIMP4;IQCG;RBMS3,Allen_Brain_Atlas_down,UP
hippocampus (cortex Ammonis),10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,VAT1;AKAP12;SPARC;ENTPD3;DSCAM;GPX3;GRB10;DNLZ;LTBP3;RND2,Allen_Brain_Atlas_down,UP
layer 2 of OCx,10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,VAT1;RPS28;SFRP2;RPL18A;DSCAM;ECH1;RASGRF1;UBR4;NCAM1;PLEKHH1,Allen_Brain_Atlas_down,UP
layer 3 of CCx,10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,VIT;VAT1;SPARC;SFRP2;RPL18A;ENTPD3;HEG1;GRB10;LIAS;RIN2,Allen_Brain_Atlas_down,UP
layer 3 of PCx,10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,VAT1;SPON1;SPARC;RASGRF1;LPAR1;GRB10;TXNIP;NCAM1;PLEKHH1;UCKL1,Allen_Brain_Atlas_down,UP
layer 4 of CCx,10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,VIT;SPARC;SFRP2;TRAF3IP2;DSCAM;POLR2B;HEG1;GRB10;LIAS;RIN2,Allen_Brain_Atlas_down,UP
layer 4 of FCx,10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,SPARC;DSCAM;GPX3;RASGRF1;LPAR1;GRB10;SDR39U1;GLUL;ETS1;PLEKHH1,Allen_Brain_Atlas_down,UP
layer 4 of PCx,10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,VAT1;SPARC;GPX3;NRG4;LPAR1;GRB10;TXNIP;NCAM1;PLEKHH1;MTSS1,Allen_Brain_Atlas_down,UP
layer 5 of PCx,10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,VAT1;SPARC;FCGRT;GPX3;NRG4;GRB10;TXNIP;NCAM1;PRDX6;MTSS1,Allen_Brain_Atlas_down,UP
mantle zone of LPrP,10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,AKAP12;SPARC;MXRA8;GRB10;TXNIP;PCOLCE;FUZ;LTBP3;GLUL;PLEKHH1,Allen_Brain_Atlas_down,UP
mantle zone of PCx,10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,VAT1;SPARC;FCGRT;GPX3;NRG4;GRB10;TXNIP;NCAM1;GLUL;MTSS1,Allen_Brain_Atlas_down,UP
navicular nucleus,10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,AKAP12;KRT18;TTC30B;DSCAM;ANGPTL6;GRB10;LTBP3;EPHA1;CCDC82;RBMS3,Allen_Brain_Atlas_down,UP
parietal cortex,10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,VAT1;SPARC;FCGRT;GPX3;NRG4;GRB10;TXNIP;NCAM1;GLUL;MTSS1,Allen_Brain_Atlas_down,UP
r8 part of inferior olive,10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,FAM122A;GPR162;MLPH;RASGRF1;CACNA1D;IGFBP7;GLUL;SORL1;KLF3;UCKL1,Allen_Brain_Atlas_down,UP
superficial stratum of LAP,10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,SLC12A2;SPARC;LPAR1;DPEP2;PTPRM;PPIE;HSPG2;PLEKHH1;MTSS1;UCKL1,Allen_Brain_Atlas_down,UP
superficial stratum of PCx (cortical plate/marginal zone),10/300,0.04730237,0.99691941,0,0,1.895376176,5.78316209,VAT1;SPARC;FCGRT;GPX3;NRG4;GRB10;TXNIP;NCAM1;GLUL;MTSS1,Allen_Brain_Atlas_down,UP
"Nodulus (X), molecular layer",13/301,0.00348751,0.996476714,0,0,2.502686246,14.16162165,SLC12A2;TRAF3IP2;HEG1;PCOLCE;PRLR;HSD11B1;KRT18;FCGRT;MXRA8;TXNIP;IGFBP7;TIMP4;GPSM3,Allen_Brain_Atlas_up,UP
"Primary somatosensory area, upper limb, layer 5",13/301,0.00348751,0.996476714,0,0,2.502686246,14.16162165,CBX6;LRP1;PTN;SLC9A1;GOLGA2;HSD11B1;MAPK10;RNF214;LASP1;MRAS;BMP1;DNLZ;LY6E,Allen_Brain_Atlas_up,UP
"Copula pyramidis, granular layer",12/301,0.00905973,0.996476714,0,0,2.295481957,10.79775347,HSD11B1;MMP24;KRT18;MLPH;GGCX;FCGRT;LY6D;PTPRM;PCOLCE;RPRD1B;WFDC2;TIMP4,Allen_Brain_Atlas_up,UP
Nodulus (X),12/301,0.00905973,0.996476714,0,0,2.295481957,10.79775347,HSD11B1;SLC12A2;KRT18;TRAF3IP2;FCGRT;HEG1;MXRA8;TXNIP;PCOLCE;IGFBP7;PRLR;TIMP4,Allen_Brain_Atlas_up,UP
"Nodulus (X), granular layer",12/301,0.00905973,0.996476714,0,0,2.295481957,10.79775347,HSD11B1;SLC12A2;TRAF3IP2;HEG1;MXRA8;TXNIP;PCOLCE;RPRD1B;HSPG2;PRLR;WFDC2;TIMP4,Allen_Brain_Atlas_up,UP
"Primary visual area, layer 5",12/301,0.00905973,0.996476714,0,0,2.295481957,10.79775347,MAPK10;SOCS3;RNF214;TMEM86A;LASP1;MRAS;CHMP1A;DNLZ;FOS;PTN;KLF4;LY6E,Allen_Brain_Atlas_up,UP
terminal nucleus of the stria medullaris,12/301,0.00905973,0.996476714,0,0,2.295481957,10.79775347,HSD11B1;VAT1;GPR17;TMEM86A;PIK3IP1;GPX3;GRB10;UBR4;RAB27B;NCAM1;MEST;CD200,Allen_Brain_Atlas_up,UP
"Bed nuclei of the stria terminalis, anterior division, magnocellular nucleus",11/301,0.02177031,0.996476714,0,0,2.090853718,8.002132835,HSD11B1;VAT1;TMEM86A;GPX3;GRB10;RAB27B;COPG2;NCAM1;PRLR;MEST;CD200,Allen_Brain_Atlas_up,UP
"Bed nuclei of the stria terminalis, posterior division, interfascicular nucleus",11/301,0.02177031,0.996476714,0,0,2.090853718,8.002132835,HSD11B1;VAT1;GPR17;TMEM86A;GPX3;GRB10;RAB27B;NCAM1;PRLR;MEST;CD200,Allen_Brain_Atlas_up,UP
"Primary somatosensory area, mouth, layer 4",11/301,0.02177031,0.996476714,0,0,2.090853718,8.002132835,RNF214;TMEM86A;LASP1;MRAS;BMP1;SPHK2;CCNG1;EMP2;IGFBP7;PTN;LY6E,Allen_Brain_Atlas_up,UP
"Primary somatosensory area, mouth, layer 5",11/301,0.02177031,0.996476714,0,0,2.090853718,8.002132835,HSD11B1;MAPK10;LASP1;MRAS;SPHK2;OXSM;HTRA3;CHMP1A;CCNG1;PTN;LY6E,Allen_Brain_Atlas_up,UP
first (dorsal) preoptic domain,11/301,0.02177031,0.996476714,0,0,2.090853718,8.002132835,VAT1;TMEM86A;GPX3;NRG4;GRB10;TXNIP;LHX6;RAB27B;PRLR;MEST;CD200,Allen_Brain_Atlas_up,UP
layer 4 of OCx,11/301,0.02177031,0.996476714,0,0,2.090853718,8.002132835,MAPK10;RNF214;TMEM86A;LASP1;MRAS;DNLZ;FOS;PTN;KLF4;PTPN5;LY6E,Allen_Brain_Atlas_up,UP
layer 5 of PCx,11/301,0.02177031,0.996476714,0,0,2.090853718,8.002132835,HSD11B1;MAPK10;RNF214;TMEM86A;CBX6;LASP1;MRAS;LRP1;CCNG1;PTN;LY6E,Allen_Brain_Atlas_up,UP
lower dorsal lateral hypothalamic area,11/301,0.02177031,0.996476714,0,0,2.090853718,8.002132835,VAT1;RPS28;DMBT1;PIK3IP1;GPX3;TMED3;GRB10;RAB27B;NCAM1;CCDC82;CD200,Allen_Brain_Atlas_up,UP
mantle zone of PO1,11/301,0.02177031,0.996476714,0,0,2.090853718,8.002132835,VAT1;TMEM86A;GPX3;NRG4;GRB10;TXNIP;LHX6;RAB27B;PRLR;MEST;CD200,Allen_Brain_Atlas_up,UP
preoptic alar plate,11/301,0.02177031,0.996476714,0,0,2.090853718,8.002132835,VAT1;TMEM86A;GPX3;NRG4;GRB10;TXNIP;LHX6;RAB27B;PRLR;MEST;CD200,Allen_Brain_Atlas_up,UP
preoptic area,11/301,0.02177031,0.996476714,0,0,2.090853718,8.002132835,VAT1;TMEM86A;GPX3;NRG4;GRB10;TXNIP;LHX6;RAB27B;PRLR;MEST;CD200,Allen_Brain_Atlas_up,UP
preoptic telencephalon,11/301,0.02177031,0.996476714,0,0,2.090853718,8.002132835,VAT1;TMEM86A;GPX3;NRG4;GRB10;TXNIP;LHX6;RAB27B;PRLR;MEST;CD200,Allen_Brain_Atlas_up,UP
r1 roof plate,11/301,0.02177031,0.996476714,0,0,2.090853718,8.002132835,KRT18;ECH1;MXRA8;AGR2;IGFBP7;GAS6;HSPG2;PRLR;WFDC2;IGF2R;SH3D19,Allen_Brain_Atlas_up,UP
upper basal lateral hypothalamic area,11/301,0.02177031,0.996476714,0,0,2.090853718,8.002132835,VAT1;SEMA4A;RPS28;DMBT1;PIK3IP1;GPX3;TMED3;GRB10;RAB27B;CCDC82;CD200,Allen_Brain_Atlas_up,UP
Anteroventral periventricular nucleus,10/301,0.04817976,0.996476714,0,0,1.88876523,5.728277869,VAT1;RPL5;GCLC;GPX3;TXNIP;NR1D1;KLF4;CCDC82;PRLR;MEST,Allen_Brain_Atlas_up,UP
Bed nuclei of the stria terminalis,10/301,0.04817976,0.996476714,0,0,1.88876523,5.728277869,GPR17;TMEM86A;GPX3;GRB10;S100A6;LHX6;AQP2;PRLR;MEST;PTPN5,Allen_Brain_Atlas_up,UP
"Bed nuclei of the stria terminalis, anterior division",10/301,0.04817976,0.996476714,0,0,1.88876523,5.728277869,GPR17;TMEM86A;PLK2;S100A6;LHX6;COPG2;AQP2;PRLR;MEST;PTPN5,Allen_Brain_Atlas_up,UP
"Bed nuclei of the stria terminalis, anterior division, anterolateral area",10/301,0.04817976,0.996476714,0,0,1.88876523,5.728277869,GPR17;PRKCH;CHRM1;TTC30B;PLK2;S100A6;TSC2;LHX6;COPG2;PTPN5,Allen_Brain_Atlas_up,UP
"Bed nuclei of the stria terminalis, anterior division, dorsomedial nucleus",10/301,0.04817976,0.996476714,0,0,1.88876523,5.728277869,VAT1;GPR17;TMEM86A;GPX3;GRB10;LHX6;RAB27B;COPG2;PRLR;MEST,Allen_Brain_Atlas_up,UP
"Bed nuclei of the stria terminalis, anterior division, ventral nucleus",10/301,0.04817976,0.996476714,0,0,1.88876523,5.728277869,VAT1;TMEM86A;GPX3;GRB10;RAB27B;COPG2;NCAM1;RIN2;MEST;CD200,Allen_Brain_Atlas_up,UP
"Bed nuclei of the stria terminalis, posterior division, transverse nucleus",10/301,0.04817976,0.996476714,0,0,1.88876523,5.728277869,VAT1;GPR17;TMEM86A;GPX3;GRB10;RAB27B;COPG2;NCAM1;PRLR;MEST,Allen_Brain_Atlas_up,UP
Copula pyramidis,10/301,0.04817976,0.996476714,0,0,1.88876523,5.728277869,HSD11B1;MMP24;MLPH;FCGRT;LY6D;PTPRM;PCOLCE;RPRD1B;WFDC2;TIMP4,Allen_Brain_Atlas_up,UP
"Dorsal peduncular area, layer 5",10/301,0.04817976,0.996476714,0,0,1.88876523,5.728277869,VIT;CXCL12;PIK3IP1;STC2;TNR;GNG12;FBLN2;DEDD;IGF2R;GADD45G,Allen_Brain_Atlas_up,UP
"Infralimbic area, layer 6a",10/301,0.04817976,0.996476714,0,0,1.88876523,5.728277869,RPL5;STK11;CXCL12;S100A6;TNR;GNG12;FBLN2;DEDD;SSTR4;EPN2,Allen_Brain_Atlas_up,UP
Median preoptic nucleus,10/301,0.04817976,0.996476714,0,0,1.88876523,5.728277869,VIT;VAT1;GPX3;TXNIP;AQP5;KLF4;CCDC82;PRDX6;PRLR;MEST,Allen_Brain_Atlas_up,UP
"Pallidum, caudal region",10/301,0.04817976,0.996476714,0,0,1.88876523,5.728277869,GPR17;TMEM86A;GPX3;GRB10;S100A6;LHX6;AQP2;PRLR;MEST;PTPN5,Allen_Brain_Atlas_up,UP
Parastrial nucleus,10/301,0.04817976,0.996476714,0,0,1.88876523,5.728277869,HSD11B1;SOCS3;TMEM86A;NRG4;GRB10;LHX6;COPG2;PRLR;MEST;CD200,Allen_Brain_Atlas_up,UP
Pons,10/301,0.04817976,0.996476714,0,0,1.88876523,5.728277869,RTN2;GSTM1;ENTPD3;RASSF6;DNLZ;EMILIN2;PLA2G4A;AQP2;LIAS;HSPG2,Allen_Brain_Atlas_up,UP
"Primary somatosensory area, barrel field, layer 5",10/301,0.04817976,0.996476714,0,0,1.88876523,5.728277869,HSD11B1;MAPK10;TMEM86A;LASP1;MRAS;LRP1;CCNG1;PTN;ELK3;LY6E,Allen_Brain_Atlas_up,UP
